date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/01/29,2019,1,29,chokepoint1,Suez Canal,13,7,7,3,16,30,46,804347,323897,38498,11186,600271,1177929,1778201,69
2019/01/30,2019,1,30,chokepoint1,Suez Canal,31,6,2,4,15,43,58,1837628,134450,6371,11452,589908,1989902,2579810,70
2019/01/31,2019,1,31,chokepoint1,Suez Canal,12,6,4,0,18,22,40,600004,460599,7232,0,651995,1067836,1719832,71
2019/02/01,2019,2,1,chokepoint1,Suez Canal,20,12,5,0,11,37,48,1167244,472686,26335,0,350200,1666266,2016467,72
2019/02/02,2019,2,2,chokepoint1,Suez Canal,22,4,6,1,13,33,46,1340067,110529,34475,5596,897669,1490669,2388339,73
2019/02/03,2019,2,3,chokepoint1,Suez Canal,13,18,5,1,12,37,49,788849,1035142,18620,289,513576,1842902,2356478,74
2019/02/04,2019,2,4,chokepoint1,Suez Canal,15,2,5,3,17,25,42,705471,74252,20135,18882,1261018,818742,2079760,75
2019/02/05,2019,2,5,chokepoint1,Suez Canal,23,17,8,1,19,49,68,1352079,894237,32197,5572,978843,2284086,3262930,76
2019/02/06,2019,2,6,chokepoint1,Suez Canal,24,9,3,6,15,42,57,1579166,847403,12647,24540,1274682,2463758,3738441,77
2019/02/07,2019,2,7,chokepoint1,Suez Canal,18,11,4,3,21,36,57,871185,625154,14297,15293,946325,1525930,2472255,78
2019/02/08,2019,2,8,chokepoint1,Suez Canal,17,9,3,1,18,30,48,1140934,730920,10451,7421,1180281,1889728,3070009,79
2019/02/09,2019,2,9,chokepoint1,Suez Canal,15,27,4,4,11,50,61,965900,875131,3541,14105,381014,1858678,2239692,80
2019/02/10,2019,2,10,chokepoint1,Suez Canal,18,8,4,2,12,32,44,1040039,676753,2737,9147,565842,1728678,2294520,81
2019/02/11,2019,2,11,chokepoint1,Suez Canal,17,14,7,4,21,42,63,827992,788603,43808,14762,1011891,1675168,2687060,82
2019/02/12,2019,2,12,chokepoint1,Suez Canal,16,11,7,3,23,37,60,961515,557261,29631,15047,1333944,1563457,2897401,83
2019/02/13,2019,2,13,chokepoint1,Suez Canal,24,4,0,4,11,32,43,1640663,333315,0,20230,983393,1994210,2977604,84
2019/02/14,2019,2,14,chokepoint1,Suez Canal,12,9,8,1,15,30,45,452455,351874,33298,2120,613943,839749,1453693,85
2019/02/15,2019,2,15,chokepoint1,Suez Canal,17,8,5,0,7,30,37,1268842,300266,16086,0,373904,1585194,1959098,86
2019/02/16,2019,2,16,chokepoint1,Suez Canal,17,7,4,5,19,33,52,1120728,209918,29388,15573,660190,1375608,2035799,87
2019/02/17,2019,2,17,chokepoint1,Suez Canal,21,4,7,1,17,33,50,1391568,116950,24354,5328,746841,1538201,2285043,88
